501
0
73c8de55fb8d473a855d8abbcd978f17
ID,Kind,Possess,Name,EN_US,ZH_CN,ZH_TW,MainManifest,MainAB,MainData,Clip,IKAB,IKData
2,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_00,Joy,custom/30/30_ik.unity3d,adv_f_00
3,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_00,Anger,custom/30/30_ik.unity3d,adv_f_00
4,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_00,Sorrow,custom/30/30_ik.unity3d,adv_f_00
5,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_00,Shame,custom/30/30_ik.unity3d,adv_f_00
6,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_00,Dependence,custom/30/30_ik.unity3d,adv_f_00
8,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_01,Joy,custom/30/30_ik.unity3d,adv_f_01
9,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_01,Anger,custom/30/30_ik.unity3d,adv_f_01
10,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_01,Sorrow,custom/30/30_ik.unity3d,adv_f_01
11,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_01,Shame,custom/30/30_ik.unity3d,adv_f_01
12,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_01,Dependence,custom/30/30_ik.unity3d,adv_f_01
14,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_02,Joy,custom/30/30_ik.unity3d,adv_f_02
15,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_02,Anger,custom/30/30_ik.unity3d,adv_f_02
16,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_02,Sorrow,custom/30/30_ik.unity3d,adv_f_02
17,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_02,Shame,custom/30/30_ik.unity3d,adv_f_02
18,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_02,Dependence,custom/30/30_ik.unity3d,adv_f_02
20,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_03,Joy,custom/30/30_ik.unity3d,adv_f_03
21,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_03,Anger,custom/30/30_ik.unity3d,adv_f_03
22,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_03,Sorrow,custom/30/30_ik.unity3d,adv_f_03
23,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_03,Shame,custom/30/30_ik.unity3d,adv_f_03
24,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_03,Dependence,custom/30/30_ik.unity3d,adv_f_03
26,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_04,Joy,custom/30/30_ik.unity3d,adv_f_04
27,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_04,Anger,custom/30/30_ik.unity3d,adv_f_04
28,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_04,Sorrow,custom/30/30_ik.unity3d,adv_f_04
29,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_04,Shame,custom/30/30_ik.unity3d,adv_f_04
30,1,1,ポーズ02,0,0,0,abdata,custom/30/30.unity3d,adv_f_04,Dependence,custom/30/30_ik.unity3d,adv_f_04
